Book,Author,Original Language,First Published,Approximate Sales,Genre
Matilda,Roald Dahl,English,1988,17 million[122],Children's Literature
The Book Thief,Markus Zusak,English,2005,16 million[123],Young Adult Fiction
The Horse Whisperer,Nicholas Evans,English,1995,16 million[124],
Goodnight Moon,Margaret Wise Brown,English,1947,16 million[125],Children's Literature
The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million[126],Children's Literature
All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million[127],"Historical fiction, war novel"
Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.[128],Erotica
The Outsiders,S. E. Hinton,English,1967,15 million[129],
Guess How Much I Love You,Sam McBratney,English,1994,15 million[130],
Shōgun,James Clavell,English,1975,15 million[131],
The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million[132],
The Pillars of the Earth,Ken Follett,English,1989,15 million[133],Historical fiction
Perfume (Das Parfum),Patrick Süskind,German,1985,15 million[134],
The Grapes of Wrath,John Steinbeck,English,1939,15 million[135],
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[136],
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[137],
Becoming,Michelle Obama,English,2018,14 million[138],
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[139],Science fiction
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[140],
God's Little Acre,Erskine Caldwell,English,1933,14 million[141],
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[142],
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[144],
Life After Life,Raymond Moody,English,1975,13 million[145],
Momo,Michael Ende,German,1973,13 million[146],Children's Literature
Peyton Place,Grace Metalious,English,1956,12.1 million[147],
The Giver,Lois Lowry,English,1993,12 million[148][149],Dystopian fiction
Me Before You,Jojo Moyes,English,2012,12 million[150],
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million[151],
The Plague (La Peste),Albert Camus,French,1947,12 million[152],
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[154],
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million (during the 20th century)[155],
The Prophet,Kahlil Gibran,English,1923,11 million[156],
The Boy in the Striped Pyjamas,John Boyne,English,2006,11 million[157],
The Exorcist,William Peter Blatty,English,1971,11 million[158],Horror
The Gruffalo,Julia Donaldson,English,1999,10.5 million[159],
Fifty Shades Darker,E. L. James,English,2012,10.4 million in the U.S.[128],Erotica
Tobacco Road,Erskine Caldwell,English,1932,10 million[160],
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million[161],
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[162],
Diana: Her True Story,Andrew Morton,English,1992,10 million[163],
The Help,Kathryn Stockett,English,2009,10 million[164],
